agency,year,state,population,ORI,male_employees_officers_rate_per_officer,female_employees_officers_rate_per_officer,total_employees_officers_rate_per_officer,male_employees_civilians_rate_per_officer,female_employees_civilians_rate_per_officer,total_employees_civilians_rate_per_officer,male_employees_total_rate_per_officer,female_employees_total_rate_per_officer,total_employees_total_rate_per_officer,officers_killed_by_felony_rate_per_officer,officers_killed_by_accident_rate_per_officer,assaults_with_injury_gun_rate_per_officer,assaults_with_injury_knife_rate_per_officer,assaults_with_injury_oth_weap_rate_per_officer,assaults_with_injury_unarmed_rate_per_officer,assaults_with_injury_total_rate_per_officer,assaults_no_injury_gun_rate_per_officer,assaults_no_injury_knife_rate_per_officer,assaults_no_injury_oth_weap_rate_per_officer,assaults_no_injury_unarmed_rate_per_officer,assaults_no_injury_total_rate_per_officer,ambush_total_assaults_rate_per_officer,oth_arrest_total_assaults_rate_per_officer,burglary_total_assaults_rate_per_officer,deranged_total_assaults_rate_per_officer,disturbance_total_assaults_rate_per_officer,prisoner_total_assaults_rate_per_officer,riot_total_assaults_rate_per_officer,robbery_total_assaults_rate_per_officer,susp_pers_total_assaults_rate_per_officer,traffic_total_assaults_rate_per_officer,all_other_total_assaults_rate_per_officer,total_assaults_total_rate_per_officer,total_assault_gun_rate_per_officer,total_assault_knife_rate_per_officer,total_assault_oth_weap_rate_per_officer,total_assault_unarmed_rate_per_officer,ambush_assault_gun_rate_per_officer,ambush_assault_knife_rate_per_officer,ambush_assault_oth_weap_rate_per_officer,ambush_assault_unarmed_rate_per_officer,oth_arrest_assault_gun_rate_per_officer,oth_arrest_assault_knife_rate_per_officer,oth_arrest_assault_oth_weap_rate_per_officer,oth_arrest_assault_unarmed_rate_per_officer,burglary_assault_gun_rate_per_officer,burglary_assault_knife_rate_per_officer,burglary_assault_oth_weap_rate_per_officer,burglary_assault_unarmed_rate_per_officer,deranged_assault_gun_rate_per_officer,deranged_assault_knife_rate_per_officer,deranged_assault_oth_weap_rate_per_officer,deranged_assault_unarmed_rate_per_officer,disturbance_assault_gun_rate_per_officer,disturbance_assault_knife_rate_per_officer,disturbance_assault_oth_weap_rate_per_officer,disturbance_assault_unarmed_rate_per_officer,prisoner_assault_gun_rate_per_officer,prisoner_assault_knife_rate_per_officer,prisoner_assault_oth_weap_rate_per_officer,prisoner_assault_unarmed_rate_per_officer,riot_assault_gun_rate_per_officer,riot_assault_knife_rate_per_officer,riot_assault_oth_weap_rate_per_officer,riot_assault_unarmed_rate_per_officer,robbery_assault_gun_rate_per_officer,robbery_assault_knife_rate_per_officer,robbery_assault_oth_weap_rate_per_officer,robbery_assault_unarmed_rate_per_officer,susp_pers_assault_gun_rate_per_officer,susp_pers_assault_knife_rate_per_officer,susp_pers_assault_oth_weap_rate_per_officer,susp_pers_assault_unarmed_rate_per_officer,traffic_assault_gun_rate_per_officer,traffic_assault_knife_rate_per_officer,traffic_assault_oth_weap_rate_per_officer,traffic_assault_unarmed_rate_per_officer,all_other_assault_gun_rate_per_officer,all_other_assault_knife_rate_per_officer,all_other_assault_oth_weap_rate_per_officer,all_other_assault_unarmed_rate_per_officer
Philadelphia Police Department,1993,Pennsylvania,1559534,PAPEP00,0.83,0.17,1.00,0.05,0.07,0.12,0.88,0.24,1.12,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.00,0.01,0.08,0.10,0.00,0.03,0.00,0.00,0.06,0.01,0.00,0.00,0.01,0.01,0.01,0.13,0.01,0.00,0.01,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Philadelphia Police Department,1994,Pennsylvania,1560576,PAPEP00,0.83,0.17,1.00,0.06,0.09,0.14,0.88,0.26,1.14,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.01,0.00,0.00,0.11,0.13,0.00,0.03,0.00,0.00,0.08,0.02,0.00,0.00,0.01,0.02,0.01,0.18,0.01,0.00,0.01,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.08,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Philadelphia Police Department,1995,Pennsylvania,1529848,PAPEP00,0.81,0.19,1.00,0.06,0.09,0.15,0.87,0.28,1.15,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.01,0.13,0.15,0.00,0.03,0.00,0.00,0.10,0.01,0.00,0.00,0.01,0.02,0.01,0.19,0.01,0.00,0.01,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1996,Pennsylvania,1528403,PAPEP00,0.80,0.20,1.00,0.05,0.09,0.15,0.85,0.30,1.15,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.00,0.01,0.07,0.08,0.00,0.02,0.00,0.00,0.04,0.01,0.00,0.00,0.02,0.02,0.01,0.13,0.00,0.00,0.01,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Philadelphia Police Department,1997,Pennsylvania,1524409,PAPEP00,0.78,0.22,1.00,0.05,0.09,0.14,0.84,0.31,1.14,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.00,0.01,0.09,0.11,0.00,0.02,0.00,0.00,0.07,0.01,0.00,0.00,0.03,0.01,0.01,0.15,0.01,0.00,0.01,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Philadelphia Police Department,1998,Pennsylvania,1449419,PAPEP00,0.77,0.23,1.00,0.04,0.08,0.13,0.81,0.32,1.13,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.00,0.01,0.11,0.14,0.00,0.03,0.00,0.00,0.06,0.01,0.00,0.00,0.04,0.02,0.02,0.19,0.02,0.00,0.02,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1999,Pennsylvania,1435382,PAPEP00,0.76,0.24,1.00,0.04,0.09,0.13,0.80,0.33,1.13,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.00,0.02,0.11,0.14,0.00,0.04,0.00,0.00,0.08,0.01,0.00,0.00,0.03,0.03,0.01,0.21,0.01,0.00,0.03,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00
Philadelphia Police Department,2e3,Pennsylvania,1517550,PAPEP00,0.76,0.24,1.00,0.04,0.09,0.13,0.80,0.33,1.13,0.00,0.00,0.00,0.00,0.01,0.06,0.08,0.01,0.00,0.01,0.10,0.14,0.00,0.03,0.00,0.00,0.08,0.02,0.00,0.00,0.02,0.04,0.01,0.21,0.01,0.00,0.03,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.07,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,2001,Pennsylvania,1518302,PAPEP00,0.76,0.24,1.00,0.04,0.09,0.13,0.80,0.33,1.13,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.00,0.01,0.10,0.13,0.00,0.03,0.00,0.00,0.08,0.02,0.00,0.00,0.03,0.03,0.01,0.19,0.01,0.00,0.02,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,2002,Pennsylvania,1524226,PAPEP00,0.76,0.24,1.00,0.04,0.09,0.13,0.80,0.33,1.13,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.00,0.01,0.09,0.12,0.00,0.02,0.00,0.00,0.06,0.01,0.00,0.00,0.03,0.03,0.01,0.16,0.01,0.00,0.02,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,2003,Pennsylvania,1495903,PAPEP00,0.75,0.25,1.00,0.04,0.09,0.13,0.79,0.34,1.13,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.00,0.01,0.09,0.12,0.00,0.02,0.00,0.00,0.07,0.01,0.00,0.00,0.02,0.03,0.01,0.16,0.01,0.00,0.02,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,2004,Pennsylvania,1484224,PAPEP00,0.75,0.25,1.00,0.04,0.09,0.14,0.79,0.35,1.14,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.04,0.01,0.02,0.08,0.15,0.00,0.02,0.01,0.00,0.09,0.01,0.00,0.01,0.02,0.02,0.03,0.21,0.04,0.01,0.03,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.02
Philadelphia Police Department,2005,Pennsylvania,1472915,PAPEP00,0.75,0.25,1.00,0.04,0.09,0.13,0.79,0.34,1.13,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.04,0.01,0.02,0.09,0.16,0.00,0.02,0.01,0.00,0.10,0.01,0.00,0.01,0.02,0.02,0.03,0.22,0.04,0.01,0.04,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.03
Philadelphia Police Department,2006,Pennsylvania,1464576,PAPEP00,0.75,0.25,1.00,0.04,0.09,0.13,0.79,0.34,1.13,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.04,0.01,0.03,0.10,0.17,0.00,0.02,0.01,0.00,0.10,0.00,0.00,0.01,0.02,0.02,0.04,0.23,0.04,0.01,0.04,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.03
Philadelphia Police Department,2007,Pennsylvania,1435533,PAPEP00,0.75,0.25,1.00,0.04,0.08,0.12,0.79,0.33,1.12,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.04,0.01,0.03,0.09,0.17,0.00,0.02,0.01,0.00,0.11,0.01,0.00,0.01,0.02,0.02,0.03,0.23,0.04,0.01,0.04,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.02
Philadelphia Police Department,2008,Pennsylvania,1441117,PAPEP00,0.76,0.24,1.00,0.04,0.09,0.13,0.80,0.33,1.13,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.03,0.01,0.03,0.12,0.19,0.00,0.03,0.01,0.00,0.11,0.01,0.00,0.01,0.03,0.02,0.04,0.27,0.03,0.01,0.04,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.03
Philadelphia Police Department,2009,Pennsylvania,1547605,PAPEP00,0.76,0.24,1.00,0.04,0.09,0.13,0.80,0.32,1.13,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.03,0.01,0.02,0.12,0.18,0.00,0.02,0.01,0.00,0.11,0.01,0.00,0.01,0.03,0.02,0.05,0.25,0.03,0.01,0.04,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.03
Philadelphia Police Department,2010,Pennsylvania,1526006,PAPEP00,0.77,0.23,1.00,0.04,0.08,0.12,0.80,0.32,1.12,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.00,0.02,0.11,0.15,0.00,0.02,0.01,0.00,0.08,0.01,0.00,0.01,0.03,0.01,0.03,0.20,0.01,0.00,0.03,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.03
Philadelphia Police Department,2011,Pennsylvania,1530873,PAPEP00,0.77,0.23,1.00,0.04,0.08,0.12,0.81,0.32,1.12,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.01,0.02,0.07,0.10,0.00,0.01,0.01,0.00,0.05,0.01,0.00,0.00,0.02,0.01,0.02,0.14,0.01,0.01,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02
Philadelphia Police Department,2012,Pennsylvania,1538957,PAPEP00,0.77,0.23,1.00,0.04,0.09,0.13,0.81,0.31,1.13,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.02,0.00,0.01,0.06,0.09,0.00,0.01,0.01,0.00,0.05,0.01,0.00,0.00,0.02,0.01,0.03,0.14,0.02,0.00,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Philadelphia Police Department,2013,Pennsylvania,1553153,PAPEP00,0.78,0.22,1.00,0.04,0.09,0.13,0.81,0.31,1.13,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.00,0.01,0.06,0.08,0.00,0.01,0.01,0.00,0.04,0.00,0.00,0.00,0.02,0.01,0.02,0.12,0.01,0.00,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Philadelphia Police Department,2014,Pennsylvania,1559062,PAPEP00,0.78,0.22,1.00,0.04,0.09,0.13,0.82,0.31,1.13,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.00,0.01,0.05,0.07,0.00,0.01,0.01,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.02,0.11,0.01,0.00,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Philadelphia Police Department,2015,Pennsylvania,1567810,PAPEP00,0.78,0.22,1.00,0.04,0.09,0.13,0.82,0.31,1.13,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.00,0.00,0.01,0.05,0.06,0.00,0.01,0.01,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.02,0.10,0.00,0.00,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Philadelphia Police Department,2016,Pennsylvania,1570826,PAPEP00,0.78,0.22,1.00,0.05,0.22,0.27,0.83,0.44,1.27,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.00,0.01,0.06,0.08,0.00,0.01,0.01,0.00,0.05,0.01,0.00,0.00,0.01,0.00,0.02,0.12,0.01,0.00,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Philadelphia Police Department,2017,Pennsylvania,1575595,PAPEP00,0.78,0.22,1.00,0.04,0.08,0.12,0.82,0.30,1.12,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.01,0.06,0.07,0.00,0.01,0.01,0.00,0.05,0.01,0.00,0.00,0.01,0.01,0.02,0.11,0.00,0.00,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
