pa_section,pa_name,pa_statute,ucr_description,ucr_code_1,ucr_name_1,ucr_code_2,ucr_name_2,ucr_code_3,ucr_name_3,ucr_code_4,ucr_name_4,ucr_code_5,ucr_name_5,ucr_code_6,ucr_name_6,ucr_code_7,ucr_name_7,ucr_code_8,ucr_name_8
4106 A1III,access device fraud-use revoked/cancelled device,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4106 A1IV,access device fraud-use is unauth for any reason,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4106 A2,access device fraud-make/sell/trans device w/know,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4106 A3,access device fraud-possess device w/knowledge,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4106.1 A1,unlawful device - making equip-produces/traffics,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4106.1 A2,unlawful device - making equip-possessing,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A1,decept bus pract-false weight/meas,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A2,decept bus pract-sell/offer less than quanity,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A3,decept bus pract-takes more as buyer via deceit,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A4,decept bus pract-adulterated/mislabeled goods,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A5,decept bus pract-false/misleading advertisement,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A6,decept bus pract-false/mis writing for credit/prop,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A7,decept bus pract-false/mis state for sale of sec,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107 A8,decept bus pract-false/mis state to induce invest,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107.1 A,decept relating to kosher food products,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107.2 A1,decept relating to mbe or wbe-obtain certification,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107.2 A2,decept relating to mbe or wbe-false statements,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107.2 A3,decept relating to mbe or wbe-obstruct invest,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4107.2 A4,decept relating to mbe or wbe-obtain public money,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4108 A,commercial bribery-corrupt emp/agent/fiduciary,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4108 B,commercial bribery-corrupt disinterested person,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4108 C,commercial bribery-solicitation,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4109 A1,rig public exhib contest-bribes or threat,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4109 A2,rig public exhib contest-tamper w/animal/per/thing,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4109 B,rig public exhib contest-solicit/accept benefit,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4109 C,rig public ehhib contest- knowingly participate,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4110,defraud secured creditors,CC,crimes code,120,embezzlement,,,,,,,,,,,,,,
4111 1,fraud in insolvency -obstruct claim,CC,crimes code,120,embezzlement,,,,,,,,,,,,,,
4111 2,fraud in insolvency -falsify writing/record,CC,crimes code,120,embezzlement,,,,,,,,,,,,,,
4111 3,fraud in insolvency -misrepresent/fail to disclose,CC,crimes code,120,embezzlement,,,,,,,,,,,,,,
4112 1,rec deposits failing financial inst-general,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4112 2,rec deposits failing financial inst-person unaware,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4113 A,misapply entrusted prop and prop of govt/fin inst,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4114,securing execution of documents by deception,CC,crimes code,120,embezzlement,,,,,,,,,,,,,,
4115,falsely impersonating persons privately employed,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4116 B1,copying; rec devices-unauth trans sound for profit,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4116 B2,copying; rec devices-unauth dist of copied sound,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4116 D,copying; rec devices-retail dist/possess rec dev,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4116 D.11,copying; rec devices-recordings/live performances,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4116 E,copying; rec devices-package must state man name,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4116.1,unlawful recording device in motion pict theater,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A1,ins fraud-false document,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A2,ins fraud-false claim,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A3,ins fraud-aids/abets/solicits/consp false claim,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A4,ins fraud-unlicensed broker/agent activity,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A5,ins fraud-knowingly benefit,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A6,ins fraud-allows use of health care facility,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A7,ins fraud-borrow/use another's ins id for f/claim,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 A8,ins fraud-solicit action,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 B1,ins fraud-unlawful compensation by attorney,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 B2,ins fraud-unlawful compensation by provider,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 B3,ins fraud-unlawful compensation/referral info,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4117 B4,ins fraud-false application,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4118,washing vehicle title-false info ref milage,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4119 A,trademark counterfeiting-general,CC,crimes code,100,forgery and counterfeiting,,,,,,,,,,,,,,
4120 A,identity theft,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4301 A,bigamy -one's own knowledge,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4301 B,bigamy -other party's knowledge,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4302,incest,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
4303 A,concealing death of child,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4304 A,endangering welfare of children,CC,crimes code,200,offenses against family & children,,,,,,,,,,,,,,
4305,dealing in infant children,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4-491 1,liquor-sale of liquor,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 10,liquor-fortifying/adulterating/contaminating liq,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 11,liquor-importation of liquor,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 12,liquor-delivery of liquor by certain licensees,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 13,liquor-violation of rules/regulations,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 14,liquor-offering commission or gift to board,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 2,liquor-poss/trans of liquor or alcohol,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 3,liquor-purchase of liquor or alcohol,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 4,liquor-poss and use of decanters,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 5,liquor-proper disposal of empty liquor containers,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 6,liquor-sales by restaurant and hotel licensees,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 7,liquor-sales by manufacturers/importers,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 8,liquor-importation and sales of alcohol,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-491 9,liquor-possession of alcohol,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 1,malt/brew-maunufacturing w/o license,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 10,malt/brew-importing/trans w/o tax stamp,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 11,malt/brew-delivery with other commodities,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 12,malt/brew-dist/importer engaging in other business,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 13,malt/brew-poss/storage of liq/alc by certain lic,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 14,malt/brew-licensees dealing in liq/alc,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 15,malt/brew-sale to persons doing illegal business,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 16,malt/brew-dist/importers failing to keep records,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 17,malt/brew-fortifying/adulterating/contaminating,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 18,malt/brew-coercing distributors/importers,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 19,malt/brew-modify/terminate dist rights agreement,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 2,malt/brew-sale for consumption on premises,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 20,"malt/brew-interference w/transfer of lic, bus, fra",LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 21,malt/brew-induce/coerce dist/importers to accept,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 3,malt/brew-sale not for consumption on premises,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 4,malt/brew-activities on sunday,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 5,malt/brew-sale by hotel/etc during prohibited hrs,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 6,malt/brew-sale on election day,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 7,malt/brew-clubs selling between 3 am and 7 am,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 8,malt/brew-transportation,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-492 9,malt/brew-transportation by licensee,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 1,liq/malt/brew-furnishing to certain persons,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 10,liq/malt/brew-entertainment on lic premises,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 11,liq/malt/brew-licensees employed by others,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 12,liq/malt/brew-failure to have records on premises,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 13,liq/malt/brew-retail licensees employing minors,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 14,liq/malt/brew-undesirables/minors freq premises,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 15,liq/malt/brew-cashing payroll/unemp/relief checks,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 16,liq/malt/brew-furnishing during unlawful hours,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 17,liq/malt/brew-lic int/emp in manu/sale of equip,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 2,liq/malt/brew-purchase on credit,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 20.1,liq/malt/brew-manufacturer not to require ad,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 20.2,liq/malt/brew-ad to be ordered/approved in advance,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 20I,liq/malt/brew-licencee's inside advertisements,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 20II,liq/malt/brew-cooperative advertising,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 21,liq/malt/brew-refusing the right of inspection,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 22,liq/malt/brew-allowance/rebate to induce purchase,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 23,liq/malt/brew-money/valuables given to employes,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 24,liq/malt/brew-valuables offered as inducement,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 25,liq/malt/brew-employment in licensed places,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 26,liq/malt/brew-worthless checks,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 27,liq/malt/brew-dist/importers employing minors,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 28,liq/malt/brew-consumption while tending bar,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 3,"liq/malt/brew-exchange for merchandise, etc",LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 4,liq/malt/brew-peddling,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 5,liq/malt/brew-failure to have brands advertised,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 6,liq/malt/brew-brand/trade name on spigot,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 7,liq/malt/brew-alcoholic strength on label,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 8,liq/malt/brew-advertisements on labels g/content,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-493 9,liq/malt/brew-retail lic furnishing free lunch,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 B1,advertising-false/deceptive/misleading,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 B2,advertising-disparaging statements,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 B3,advertising-monetary comparison between brands,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 C,advertising-ad price in effect,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 D,advertising-price not to be displayed in window,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 E1,advertising-entity responsible identified in ad,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 E2,advertising-distribution of ad off premises,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 E3,advertising-within 300 ft of church/school/etc,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 E4,advertising-directed toward minors,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 E5,advertising-publications of educational inst,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 E6,advertising-obscene in nature,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-498 F,advertising-spirit of safety/safe driving programs,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4-499 A,premises to be vacated by patrons,LL,liquor law,220,liquor law,,,,,,,,,,,,,,
4583.1 A1,agg jury tampering - threaten or employ force,JC,judicial code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4583.1 A2,agg jury tampering - offer pecuninary or other,JC,judicial code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4583.1 A3,agg jury tampering - conspiracy to intimidate,JC,judicial code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4583.1 A4,agg jury tampering - accepts/solicits to accept benefit,JC,judicial code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4701 A1,bribery-pecuniary benefi,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4701 A2,"bribery-any benefit/vote, decision, recommendation",CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4701 A3,bribery-any benefit/violation of known legal duty,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4702 A1,threats and other improper influence-harm any pers,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4702 A2,threats and other improper influence-pub servant,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4702 A3,threats and other improper influence- ps/party off,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4703,retaliation for past official action,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4902 A,perjury,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4903 A1,false swearing-offic proceeding,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4903 A2,false swearing-mislead public servant,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4903 B,false swearing-other,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4904 A1,unsworn falsification to auth-written statement,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4904 A2,unsworn falsification to auth-forged/altered doc,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4904 A3,unsworn falsification to auth-false sample/mark/ob,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4904 B,unsworn falsification to auth-form bearing notice,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4905,false alarm to agencies of public safety,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
4906 A,false reports to law enf auth-incrimination,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4906 B1,false reports to law enf auth-ficticious report,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4906 B2,false reports to law enf auth-pretend/have info,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4909,witness or informant taking bribe,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4910 1,tamper with or fabricate phys evid-alter/destroy,CC,crimes code,100,forgery and counterfeiting,,,,,,,,,,,,,,
4910 2,tamper with or fabricate phys evid-make/present,CC,crimes code,100,forgery and counterfeiting,,,,,,,,,,,,,,
4911 A1,tamper with public record/info-false entry/alter,CC,crimes code,100,forgery and counterfeiting,,,,,,,,,,,,,,
4911 A2,tamper with public record/info-make/present/use,CC,crimes code,100,forgery and counterfeiting,,,,,,,,,,,,,,
4911 A3,tamper with public record/info-destroy/remove,CC,crimes code,100,forgery and counterfeiting,,,,,,,,,,,,,,
4912,impersonating a public servant,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4913,impersonating a notary public,CC,crimes code,110,fraud,,,,,,,,,,,,,,
4952 A1,intim wit/victm-refrain from reporting,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4952 A2,intim wit/victm-give false/misleading info,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4952 A3,intim wit/victm-withold information,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4952 A4,intim wit/victim-give false/misleading info,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4952 A5,intim wit/victim-elude/evade/ignore req/summons,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4952 A6,intim wit/victim-absent from legal proceeding,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
4953 A,retaliation against wit/victim,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4953.1,retaliation against prosecutor/judicial official,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
4957 A,protection of employment of crime vict/wit,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5101,obstruct admin law/other govt function,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5102 A,obstruct/impede admin justice by picketing,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5103,unlaw listening deliberations of jury,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5104,resist arrest or other law enforcement,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
5105 A1,hinder app/prosec-habor or conceal,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5105 A2,hinder app/prosec-provide aid,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5105 A3,hinder app/prosec-conceal/destroy evid,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5105 A4,hinder app/prosec-warn of discovery,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5105 A5,hinder app/prosec-provide false info,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5106 A1,fail to rep inj by firearm or crim act-deadly weap,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5106 A2,fail to rep inj by firearm or crim act-penal law,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5107 A,aiding consummation of crime,CC,crimes code,*,code as substantive offense (except murder),,,,,,,,,,,,,,
5108 A,compounding,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5109,barratry -vex w/unjust vexatious suit,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5110,contempt of general assembly,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5111 A1,deal in proceeds of unlawful act-promote,CC,crimes code,130,"stolen prop., rec., posses., buying",260,all other offenses (except traffic),,,,,,,,,,,,
5111 A2I,deal in proceeds of unlawful act-conceal,CC,crimes code,130,"stolen prop., rec., posses., buying",260,all other offenses (except traffic),,,,,,,,,,,,
5111 A2II,deal in proceeds of unlawful act-avoid reporting,CC,crimes code,130,"stolen prop., rec., posses., buying",260,all other offenses (except traffic),,,,,,,,,,,,
5112 A,obstructing emergency services,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5121 A,escape-general,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5121 B,escape-permit/facilitate,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5122 A1,weapons or implements for escape-provide tool/weap,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5122 A2,weapons or implements for escape-inmate make/proc,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5123 A,contraband-sell/furn controlled sub to inmate,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5123 A.2,contraband-poss of controlled sub by inmate,CC,crimes code,18E,drug possession - opium - cocaine,18f,drug possession - marijuana,18g,drug possession - synthetic,18h,drug possession - other,,,,,,,,
5123 B,contraband-provide money to inmate,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5123 C,contraband-provide other to inmate,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5124 A,default in required appearance,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5125,absconding witness-conceals or absconds,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5126 A,flight to avoid apprehension/trial/punishment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5301 1,official oppression-arrest/search/etc,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5301 2,official oppression-deny right/privilege/etc,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5302 1,speculating/wagering on off act/info-acq pec int,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5302 2,speculating/wagering on off act/info-act on info,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5302 3,speculating/wagering on off act/info-aids another,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5501 1,riot-intent to commit felony,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5501 2,riot-intent to prevent/coerce off act,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5501 3,riot-plan/use firearm/eadly weapon,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5502,failure of disordlery pers to disperse upon order,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5503 A1,disorderly conduct-fighting/threatening viol beh,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5503 A2,disorderly conduct-unreasonable noise,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5503 A3,disorderly conduct-obscene language/gesture,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5503 A4,disorderly conduct-hazardous/phys offensive condit,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5504 A.11,har and stalk by comm or add-fear of bodily inj,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
5504 A.12,har and stalk by comm or add-emotional distress,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5504 A1,har and stalk by comm or add- lewd/obscene/threat,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5504 A2,har and stalk by comm or add-anonomous,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5504 A3,har and stalk by comm or add-inconvenient hrs,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5504 A4,har and stalk by comm or add-any other,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5505,public drunreness,CC,crimes code,230,drunkenness,,,,,,,,,,,,,,
5506,loitering and prowling at night time,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5507 A,obstructing highways and other public passages,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5507 B1I,obstructing highway -ref to move/obstruct highway,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5507 B1II,obstructing highway -ref to move/maintain pub safe,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5508,disrupting meetings and processions,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
5509 A,desecration of venerated objects,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
5510,abuse of corpse,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A1I,cr anim-kill/maim domestic of another,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A1II,cr anim-poison domestic of another,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A1III,cr anim-har/annoy/inj guide dog,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A2.1IA,cr anim-kill/maim/mutilate dog or cat,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A2.1IB,cr anim-poison dog or cat,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A2I,cr anim-kill/maim/disfigure zoo animal,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 A2II,cr anim-poison zoo animal,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 B,cr anim-vio reg concerning fowl/rabbit,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 C,cr anim-endangerment/abandonment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 D,cr anim-sell/use disabled horse,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 E,cr anim-transport in cruel manner,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 E.1,cr anim - transport equine animals in cruel manner,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 F,cr anim-excess hours of labor,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 G,cr anim-enhance appearance of udder,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H,cr anim-cropping dog's ears,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H.11,cr anim-animal fighting/cause or permit,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H.12,cr anim-animal fighting/comp for admission,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H.13,"cr anim-animal fighting/own,possess,keep,train",CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H.14,"cr anim-animal fighting/encourage,aid,assist",CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H.15,cr anim-animal fighting/wager,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
5511 H.16,"cr anim-animal fighting/pay for admission,attend",CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
